StartDate,EndDate,Duration,RecordedDate,ResponseId,Prolific ID,Consent_3,Age,Gender,Ethnicity,Education,Income,avg_learn,accuracy_pre,accuracy_post,confi_trial_pre,confi_trial_post,happy_pre_1,understanding_pre_1,Q1_pre,Q1_confi_pre_1,attention_slider_1_1,Q2_pre,Q2_confi_pre_1,Q3_pre,Q3_confi_pre_1,Q4_pre,Q4_confi_pre_1,Q5_pre,Q5_confi_pre_1,Q6_pre,Q6_confi_pre_1,Q7_pre,Q7_confi_pre_1,Q8_pre,Q8_confi_pre_1,Q9_pre,Q9_confi_pre_1,Q10_pre,Q10_confi_pre_1,confidence_1_1,Q1_post,Q1_confi_1,Q1_learn_1,Q2_post,Q2_confi_1,Q2_learn_1,Q3_post,Q3_confi_1,Q3_learn_1,Q4_post,Q4_confi_1,Q4_learn_1,Q5_post,Q5_confi_1,Q5_learn_1,Q6_post,Q6_confi_1,Q6_learn_1,Q7_post,Q7_confi_1,Q7_learn_1,Q8_post,Q8_confi_1,Q8_learn_1,Q9_post,Q9_confi_1,Q9_learn_1,Q10_post,Q10_confi_1,attention_slider_2_1,Q10_learn_1,Confidence_2_1,happy_post_1,understanding_post_1,helpful_1,attention_slider_3_1,empathetic_1,polite_1,blunt_1,confrontational_1,interest_post_1,Q279,Q280,Q281,condition
2025-11-12 05:54:42,2025-11-12 06:14:50,1208,2025-11-12 06:14:51,R_2zJlSQybDtnYRiN,65e4a6bdde84e615dcac2651,4,32,2,1,3,3,0,0.6,0.5,6,24.8,77,15,2,0,100,3,0,1,47,1,0,3,0,1,0,3,4,1,0,2,9,1,0,31,3,0,0,3,0,0,1,52,0,3,78,0,1,0,0,1,0,0,3,19,0,1,49,0,1,50,0,2,0,0,0,21,79,3,43,50,100,100,35,0,0,"It's made me realise how complicated philosophy is, which I didn't realise before.",Memory around retaining new information,None,positive
2025-11-12 06:04:59,2025-11-12 06:16:01,662,2025-11-12 06:16:02,R_8Hql6em8acqTsyr,67efcad870129b5d1f122c8d,4,56,1,1,5,4,0,0.2,0.3,0,0,90,27,4,0,100,3,0,3,0,3,0,2,0,2,0,3,0,2,0,3,0,1,0,31,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,31,87,3,4,51,73,85,63,21,0,"Honestly, I'm not very interested in philosophy so the AI didnt really interest me.",AI text,,positive
2025-11-12 05:50:20,2025-11-12 06:30:09,2388,2025-11-12 06:30:09,R_28P8vOnb4i5vw4b,66a807a37c3608e587480d4f,4,30,1,1,3,2,0,0.6,0.7,0,0,49,37,3,0,100,1,0,1,0,2,0,1,0,1,0,3,0,1,0,2,0,1,0,21,1,0,0,1,0,0,3,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,11,0,13,100,51,100,100,0,0,0,It was encouraging,How AI feedback affects my confidence in answering questions,No,positive
2025-11-12 06:19:57,2025-11-12 06:47:02,1625,2025-11-12 06:47:03,R_1lYvtKam2Os5KIJ,67e1fa87e8aa9b415b7efafa,4,65,2,1,5,5,0,0.6,0.5,0,34.7,100,53,3,0,100,3,0,1,0,1,0,2,0,1,0,3,0,1,0,2,0,3,0,41,1,45,0,3,48,0,1,51,0,1,52,0,3,49,0,1,0,0,2,50,0,1,52,0,3,0,0,2,0,0,0,51,100,50,78,50,100,100,34,0,0,helping me gain a little more understanding of philosophy,human response to AI helping an individual learn more about something,interesting study . . .and I learned a few things!,positive
2025-11-14 15:49:22,2025-11-14 16:01:36,733,2025-11-14 16:01:36,R_5MqoNkhKqsP6NjP,63ea547c9873e55d6bed4864,4,26,2,4,4,5,0,0.3,0.6,20.8,5.5,100,27,3,74,100,2,0,2,0,2,20,1,51,3,28,3,35,1,0,2,0,3,0,21,2,7,0,1,11,0,2,0,0,1,0,0,1,0,0,1,11,0,2,26,0,2,0,0,1,0,0,1,0,0,0,11,59,1,73,50,75,81,89,0,0,no,see about how people felt about philosophy,,positive
2025-11-15 04:38:23,2025-11-15 05:01:11,1367,2025-11-15 05:01:11,R_2jYSA6aLQLgtIiS,5ff07751f4e233420c6fe50f,4,34,2,1,4,1,1.1,0.2,0.1,6.1,3.3,39,35,2,58,100,2,0,2,0,1,3,2,0,3,0,3,0,1,0,3,0,2,0,11,3,9,5,3,0,0,3,0,0,3,13,0,3,3,2,1,3,4,2,0,0,2,0,0,3,3,0,2,2,0,0,11,31,28,55,47,64,77,18,8,5,no,memory,no,positive
2025-11-14 15:28:22,2025-11-14 15:45:50,1047,2025-11-14 15:45:50,R_8F51zsDKrfu06TP,673ca7a510453b9c34c700d2,4,57,2,1,2,7,3.1,0.3,0.2,0,0,84,0,2,0,100,3,0,1,0,2,0,3,0,2,0,3,0,3,0,1,0,2,0,31,3,0,31,2,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0,0,1,67,0,0,46,11,100,17,0,0,It hasnt influenced me at all,ai,,positive
2025-11-15 04:43:54,2025-11-15 04:58:29,874,2025-11-15 04:58:30,R_21BQHVeqGjvHjkC,5f58f4c7cb024e0c3caee284,4,25,2,1,4,4,7.7,0.5,0.3,2.6,3.6,7,5,4,13,100,3,0,2,0,1,13,2,0,1,0,1,0,2,0,1,0,2,0,21,2,0,0,1,0,0,1,0,0,2,0,6,3,0,22,2,0,4,3,12,7,2,8,20,2,16,0,1,0,0,18,11,40,4,47,50,100,99,0,0,14,It made me believe more in myself,Memory??,,positive
2025-11-15 04:37:35,2025-11-15 05:10:42,1986,2025-11-15 05:10:42,R_8AXp4LEFcRxyqGy,6661c9ae13d2c1b196d73a43,4,63,1,1,3,2,8.9,0.5,0.6,18.5,21.2,82,12,2,23,100,1,12,1,46,1,16,2,16,3,8,2,20,1,6,1,10,1,28,21,1,14,23,1,22,9,1,51,7,3,23,5,2,8,9,3,7,4,2,30,9,1,12,3,1,15,12,1,30,11,8,11,82,15,51,50,0,74,0,0,0,Having little knowledge of philosophy the AI feedback influenced me greatly,If we could gain knowledge and if we believed what the AI was telling us,,positive
2025-11-15 04:55:29,2025-11-15 05:10:29,899,2025-11-15 05:10:29,R_8CgkwDqFesJWv7a,5b21377de5cd900001125aa2,4,53,1,1,4,5,12.1,0.6,0.6,13.1,12.1,72,77,3,17,100,3,9,1,13,3,33,2,14,1,14,1,11,3,0,2,2,1,18,11,1,10,9,1,12,7,2,11,11,3,14,15,2,11,12,1,14,13,1,9,13,1,13,15,1,15,14,3,12,0,12,11,83,14,17,50,20,82,39,25,2,Not at all,No idea,Nope,positive
2025-11-12 06:08:27,2025-11-12 06:23:32,904,2025-11-12 06:23:32,R_8R42iTgGsdxpbc4,67059f2dc5b623cb8a13d549,4,30,2,1,4,2,16,0.6,0.9,32.4,48.8,54,64,4,0,100,3,0,1,100,1,59,1,37,3,17,3,0,3,0,1,60,1,51,31,1,10,59,1,94,0,1,62,17,1,26,0,1,100,56,1,0,0,1,11,28,1,86,0,1,95,0,3,4,0,0,41,55,45,84,50,100,100,0,0,84,I'm not sure - I think I just accepted the answers it gave me as being correct and used the knowledge from the AI responses to answer the later questions. I found the politeness and platitudes from the AI to be quite overbearing and would have preferred it to just be a little more straightforward without all the niceties.,Maybe how AI influences learning based on how blunt/polite/confrontational it is?,No.,positive
2025-11-12 05:56:21,2025-11-12 06:08:12,710,2025-11-12 06:08:12,R_2kYtvXIiDdG9TfR,66d1d1c3e75fc3f59ec10076,4,45,2,1,5,3,17.9,0.5,0.7,9.3,18.7,50,38,3,17,100,1,6,1,5,3,27,3,8,1,4,3,4,1,8,2,8,1,6,60,1,35,17,1,13,23,1,43,23,2,15,18,1,12,22,1,11,12,2,9,15,3,25,12,1,11,21,1,13,0,16,41,43,44,53,49,100,100,2,2,42,It got me thinking more about the concepts,if I could learn anything from the AI feedback,no,positive
2025-11-14 15:14:23,2025-11-14 15:27:15,772,2025-11-14 15:27:16,R_7mUwQ8kQRk4dgyU,6672eca69514ef9e82e7f0b8,4,34,2,1,4,6,18.9,0.4,0.7,50.6,79.4,72,64,4,43,100,2,59,1,79,3,56,1,6,3,44,3,77,1,64,1,53,3,25,41,3,95,38,1,77,21,1,100,63,3,92,4,1,84,9,1,100,17,1,52,0,3,100,22,1,31,15,1,63,0,0,80,70,23,40,52,100,90,19,3,53,It made me think about how I wish AI was a little less empathetic when used to provide a correct answer vs incorrect answer. Sometimes it took a sentence or two before I really understood what the correct answer was.,AI corrections as a comprehension tool.,,positive
2025-11-15 04:40:58,2025-11-15 04:55:11,852,2025-11-15 04:55:11,R_2v8NRDzY4sHQZxS,65fc61d874fb81c86e248af3,4,29,2,3,5,3,22,0.5,0.3,19.7,36.3,48,31,3,23,100,2,5,1,11,1,25,1,0,3,0,3,54,1,63,2,16,2,0,60,1,10,8,3,5,15,1,50,38,2,82,38,2,0,0,2,9,18,2,45,42,1,100,35,3,27,20,3,35,0,6,51,48,54,54,50,50,64,13,25,16,Not at all,If AI helps one learn or memorise new concepts,"attention check to move to the middle, where exactly? I hope you don't penalise based on where the slider was moved",positive
2025-11-12 06:17:41,2025-11-12 06:32:33,892,2025-11-12 06:32:33,R_8qEmfNXv3HTl8VW,66e7111172fd5ff2983a9690,4,38,2,1,4,2,23.1,0.3,0.6,24.2,20.9,82,49,3,48,100,2,21,1,5,2,22,2,5,3,14,3,49,3,13,2,46,1,19,21,1,48,52,1,18,25,2,21,23,1,15,23,3,30,50,1,18,11,2,9,17,1,20,9,1,14,13,3,16,0,8,11,69,23,20,51,80,96,0,0,22,It was quite positive even when i was wrong,AI responses to correct and incorrect answers and how it is perceived by the person receiving feedback,The sliding scale was difficult to use,positive
2025-11-14 15:04:07,2025-11-14 15:22:39,1112,2025-11-14 15:22:40,R_8lt01frY4aC26MF,664dedb536c0a3f6e482985c,4,34,2,1,3,4,23.2,0.6,0.7,28.4,63.7,75,65,2,13,100,3,46,1,50,1,32,1,10,1,8,3,55,1,38,2,21,2,11,31,1,64,42,1,49,15,1,93,80,3,65,15,1,90,0,1,92,11,2,38,5,1,43,46,1,85,13,2,18,0,5,60,72,12,73,50,100,100,0,0,10,It made me feel good for giving the questions a try.,Our impression of the AI assistant.,,positive
2025-11-12 06:10:46,2025-11-12 06:27:47,1021,2025-11-12 06:27:48,R_8QL6ihouhrhJvmt,62b4548f1ec615632d50d4a7,4,35,2,1,4,5,23.3,0.5,0.7,12.2,23.7,30,21,4,0,100,3,51,1,14,1,53,3,0,3,4,3,0,1,0,2,0,1,0,31,3,22,42,1,20,25,1,80,17,1,35,27,1,2,10,1,0,0,1,36,30,1,26,33,3,0,19,3,16,16,30,21,35,29,83,50,58,92,51,17,2,no,How you take in getting something wrong and hearing the right answer via AI,,positive
2025-11-12 05:53:39,2025-11-12 06:09:00,921,2025-11-12 06:09:01,R_264kb4NtFQTqQLO,676a9b211664b1f6c32244af,4,45,1,8,3,1,23.9,0.6,0.4,21,53.5,48,25,3,25,100,2,0,2,1,3,70,1,22,1,2,3,23,1,0,1,62,1,5,60,3,51,25,1,14,4,3,26,12,3,58,27,1,64,46,3,57,30,3,41,12,1,100,16,1,82,44,2,42,12,23,60,51,3,89,51,69,72,62,0,0,Yes - I trust AI's answers,Influence of AI in decision making,This was a good study,positive
2025-11-15 04:39:12,2025-11-15 05:08:49,1777,2025-11-15 05:08:50,R_87Hxtahng36A8LE,66c0af35f57fae682f0641a1@email.prolific.com,4,37,1,2,5,1,25.2,0.6,0.4,13.4,34,59,19,3,13,100,2,2,1,100,2,4,3,2,1,3,2,2,1,3,1,3,1,2,80,1,2,59,1,100,37,2,100,2,3,2,2,3,2,2,3,2,2,1,3,27,2,2,2,1,100,48,2,27,2,71,51,71,47,99,49,100,100,29,47,36,it motivated me to answer more questions,AI interactions with humans,,positive
2025-11-14 15:20:33,2025-11-14 15:33:25,771,2025-11-14 15:33:25,R_3no4lJvCUhRiRM7,663f5eed73659900df143c29,4,36,2,1,4,3,25.8,0.4,0.4,3.6,16.2,8,0,2,5,100,3,3,2,3,3,7,3,5,1,3,3,3,1,3,2,2,1,2,1,1,0,11,2,7,29,2,6,12,3,55,22,3,3,3,1,3,6,2,2,5,2,15,68,1,20,62,1,51,34,40,11,3,35,53,49,98,99,51,12,17,"It was informative and provided good information, however, it seemed a little too flattering when answers were incorrect. Flattering to the point it was disingenuous. ",AI responses,The slider option was hard to select. Make the slider bar bigger.,positive
2025-11-14 15:19:07,2025-11-14 15:31:41,754,2025-11-14 15:31:41,R_2F7FknOb7zDS5k5,6659fdebb655a078b9cfce41,4,31,2,1,5,2,26.8,0.6,0.6,25,42.3,77,25,3,32,100,1,23,1,71,1,11,1,16,3,18,3,29,1,18,2,19,1,13,60,1,47,19,1,21,54,2,15,25,3,72,31,1,67,21,2,52,28,2,21,32,1,88,15,1,18,29,1,22,0,14,60,71,30,70,50,83,91,15,0,66,It's only influenced me in the sense that I thought back to its feedback in the second quiz,Not sure,,positive
2025-11-15 04:57:34,2025-11-15 05:13:26,952,2025-11-15 05:13:27,R_289ZoMuxjUflFyF,57d72819631235000138a6f6,4,53,2,1,6,2,28.6,0.6,0.5,8.3,50.5,72,62,3,20,100,3,2,1,4,1,6,2,2,3,1,3,24,1,20,2,1,1,3,51,1,100,45,1,10,9,3,85,22,3,73,39,1,4,27,3,83,43,3,6,16,1,68,40,1,67,20,2,9,26,25,41,30,33,11,52,48,100,9,0,100,Not at all,Responses to AI learning and the feedback given,I found my concentration went the longer it went on. I was more focused in the first set of questions so this would affect AI learning tools,positive
2025-11-15 04:39:50,2025-11-15 05:00:46,1256,2025-11-15 05:00:47,R_8tww9lerW4Vr7SF,675b08bbe8b869e0a4aaa793,4,53,1,1,3,2,29.4,0.3,0.2,0.4,0,21,2,3,2,100,1,2,2,0,3,0,3,0,1,0,3,0,1,0,2,0,2,0,11,1,0,40,2,0,40,3,0,43,3,0,21,3,0,35,1,0,30,2,0,25,3,0,18,2,0,30,3,0,0,12,11,21,5,40,49,93,94,0,0,8,it didnt,philosophy,,positive
2025-11-14 15:57:45,2025-11-14 16:17:57,1212,2025-11-14 16:17:58,R_2MSzRpPi1N83CwX,6765faff976fdcf31c7dbd98,4,35,1,1,4,2,30.3,0.5,0.2,21.3,39.6,78,42,4,5,100,3,0,1,100,1,34,3,0,1,11,3,50,1,0,2,13,2,0,41,3,74,84,3,84,0,2,37,92,2,20,50,3,0,0,3,7,7,2,0,20,2,0,0,1,100,50,1,74,0,0,31,80,57,100,51,100,100,0,0,0,"When i was asked questions in the second round, if i remembered the ai bringing it up, i tried to use what it had taught me to pick the correct answer, so it made me more thoughtful and engage with the questions more and take a more educated guess.",If AI feedback could improve knowledge of a subject or willingness to learn.,,positive
2025-11-14 15:11:21,2025-11-14 15:24:56,814,2025-11-14 15:24:57,R_8DHNxCmGnGY0YyB,677841f94ba2c8fc558e6171,4,28,1,1,3,3,31.6,0.4,0.2,29.2,45.9,59,31,4,27,100,2,9,3,39,3,16,1,14,2,39,3,51,1,36,1,13,1,48,21,3,34,36,3,52,37,1,51,35,3,44,35,3,29,25,1,46,25,2,29,26,2,56,34,3,50,31,3,68,39,32,31,64,36,77,51,92,93,18,5,47,It has given me a greater understanding of philosophy.,AI's ability to understand human philosophical thought.,N/A,positive
2025-11-15 04:39:32,2025-11-15 05:04:04,1471,2025-11-15 05:04:04,R_2qgdebN7vqewySH,677545caf59707888206f9e1,4,47,2,1,3,3,34.7,0.2,0.2,20.1,24,37,12,3,17,100,1,13,1,9,3,11,3,15,2,18,2,50,2,20,2,17,3,31,11,1,4,53,3,57,38,2,4,7,3,30,66,2,11,7,2,19,45,3,16,14,1,17,48,3,20,27,3,62,0,42,11,39,26,27,49,29,88,64,14,0,No this has not influenced me at all,The response that AI replied to a question.,,positive
2025-11-15 04:45:53,2025-11-15 05:06:13,1220,2025-11-15 05:06:14,R_2rIxizJGfRs24vZ,67e04653f72e455c5cb22f12,4,66,1,1,4,3,35,0.6,0.4,20.4,34.6,68,55,4,33,100,3,19,1,18,1,36,1,21,1,17,3,14,1,15,2,16,2,15,51,1,23,29,3,29,35,1,80,77,3,16,18,1,76,45,2,21,17,3,25,31,3,29,53,3,22,27,1,25,0,18,41,76,31,65,48,80,81,9,7,20,"It's many, many years since I've studied philosophy to any serious degree but I did have some interest in it, so maybe I'll do some more reading",Whether I had a basic understanding of philosophy,I enjoyed doing the study,positive
2025-11-14 15:17:38,2025-11-14 15:32:02,864,2025-11-14 15:32:03,R_22xKRxV7bzOWc1X,60f5a1df58e2d70959c0545f,4,27,1,1,3,1,35.7,0.2,0.4,11.8,42.4,8,8,3,20,100,2,0,3,0,1,8,2,2,2,0,3,81,2,5,2,2,3,0,11,1,23,33,3,11,43,1,100,29,3,84,69,3,10,17,2,8,37,1,62,44,1,100,39,3,17,28,3,9,26,18,21,6,3,60,50,82,88,58,1,3,it was positive and i appreciate the little end sentiment to keep going even if i was incorrect,how well the ai could help me learn the philosophy,no,positive
2025-11-15 04:56:03,2025-11-15 05:25:55,1792,2025-11-15 05:25:56,R_81jQYXEKe7Zt5bL,681c888ef89160c6b131dce8,4,32,2,2,5,2,36.7,0.2,0.3,19.2,24.9,50,38,2,40,100,2,14,2,17,3,28,1,12,3,21,2,12,1,20,2,0,2,28,21,3,26,27,3,21,24,3,28,42,3,23,33,1,50,39,1,15,18,2,9,14,3,53,43,1,15,36,2,9,0,91,21,58,4,65,49,94,95,71,39,22,"It made me look forward to the answer, doesn't matter if I miss it or not. ",The influence of an AI agent in giving feedback on art topics,,positive
2025-11-14 15:30:40,2025-11-14 16:12:08,2488,2025-11-14 16:12:09,R_2g55PKaYYeZ2T6d,676b24007b0a13eef244f7bf,4,34,2,2,4,2,38.8,0.7,0.4,53.4,31.1,42,52,2,29,100,3,81,3,29,1,73,1,64,1,26,2,36,1,82,1,42,1,72,60,1,51,64,2,16,28,2,39,45,1,36,39,1,27,54,3,29,45,2,46,28,1,18,23,3,20,23,3,29,34,39,21,33,46,52,53,62,68,76,71,66,it didnt,not entirely sure,none,positive
2025-11-14 15:16:19,2025-11-14 15:38:01,1301,2025-11-14 15:38:02,R_5qsmINNxRxdafIn,676b0be92c12b179dbb0349b,4,69,2,1,3,2,40,0.5,0.5,68.7,71.3,95,78,4,54,100,1,54,3,90,1,78,1,84,3,83,3,82,1,53,1,57,1,52,60,1,90,32,3,78,26,3,53,25,3,50,26,1,100,87,1,79,25,1,50,23,1,88,48,3,75,78,2,50,100,30,51,99,32,79,51,100,100,75,4,53,"It was very encouraging, even when my answer was wrong.  And very ""excited"" when I got the answer right.","At first I thought memory, but I think it is more testing how AI can better interact with humans. And how well we can learn from AI feedback.","AI is exciting, however, I am wary of it taking over our lives and discouraging free thinking and activities.  There are some things I just don't want replaced by AI, ie, the bank teller, the grocery cashier, my doctor.",positive
2025-11-12 06:12:47,2025-11-12 06:31:35,1128,2025-11-12 06:31:36,R_2Dh3C8NQzL2C8M1,67407c617ee8b91996aed6ae,4,42,1,1,3,3,44,0.4,0.3,42.1,44,67,66,3,46,100,3,25,2,12,3,97,1,26,3,41,3,77,2,25,2,38,1,34,41,1,77,54,3,48,81,1,56,34,2,50,39,2,10,10,3,7,18,2,52,56,1,64,67,3,33,51,2,43,0,30,31,67,35,75,52,84,97,36,7,50,it influenced the way I perceived philosophical ideas,whether philosophy can challenge peoples thought processes in the modern world.,no,positive
2025-11-12 06:28:33,2025-11-12 06:49:03,1230,2025-11-12 06:49:04,R_2PXkRA3TMnNuDSm,651d66c51eea1d251ec207e8,4,44,1,1,3,4,44.8,0.6,0.7,2.8,40.2,80,52,3,3,100,1,0,1,0,1,15,2,3,1,0,3,0,2,0,1,4,1,3,41,1,62,62,3,64,42,1,66,56,3,56,76,1,27,41,1,21,20,3,3,19,1,17,41,1,80,73,1,6,0,18,60,82,64,50,50,100,100,0,0,57,"It hasn't, my opinions came entirely from my own opinions.",Whether the tone and encouragement of the AI made me more interested in the topic.,No.,positive
